title,original_text,Support,replaced_text,paragraph
"Is It Right To Tear Down Statues Some See As Problematic?
","Removing them is sheer fanaticism
",0,"Removing the statues is sheer fanaticism
","The current effort to remove monuments from America's history has become too extreme, believes John Daniel Davidson of The Federalist. This movement has gone beyond just removing statues of racist historical figures, it has become an ideological purity test.  When statues of Christopher Columbus are torn down and the Tomb of the Unknown Soldier is defaced, something has gone too far. These protesters are attacking US history. They see America as something that needs to be torn down. Columbus helped establish this country, which has embodied democracy and freedom. Denying this is political extremism of the worst kind.
"
"Is It Right To Tear Down Statues Some See As Problematic?
","The statues are a stain on America
",1,"The statues are a stain on America
","Confederate monuments represent the very worst of American history and should be removed, writes the Dallas Morning News in an editorial. There is no debate; these men fought to keep human beings in bondage to uphold slavery. Statues celebrating these men and what they fought for have no place in America. At a time when the country is reckoning with its history and systemic racism, we should remove these stains on our conscience. They should be replaced with American heroes we can all look up to, like Sgt. Roy Benavidez. We need to let our country heal from its racist past to help turn the page towards a better future.
"
"Are Calls To Defund The Police Justified?
","We must reform, not defund the police
",0,"We must reform, not defund the police
","Defunding the police is not the answer to America's complicated policing problem, holds Robert Verbruggen of National Review. Lowering the police's capabilities will result in an increase in crime that nobody wants. We need to improve their training with a focus on de-escalation. Additionally, we need to reform the current system that lets bad cops off the hook far too easily. If not, they will lose their legitimacy, and further incidents of malpractice will erode public trust and invite more protests. Policies like qualified immunity need to be revised as they often protect police officers that break the law. A well-funded, well-trained, transparent and accountable police force is the way forward.
"
"Are Calls To Defund The Police Justified?
","Defunding the police is key for progress
",1,"Defunding the police is key for progress
","It is time to have a serious talk about defunding the police, believes Christy E. Lopez of The Washington Post. This doesn't mean abolishing it; nobody wants that and police continue to serve an important role in society. However, reforming the police is no longer enough. The core issue is that Americans have become far too reliant on cops to solve everyday issues. Defunding the police means giving some of their funding to mental health and violence interruption programs instead. Community mediation that seeks to help individuals first is essential. The police can be part of this future, but its current presence in everyday American life must be reduced.
"
"Is Trump right to call for a harsher response to protests?
","Trump is making the situation worse
",0,"Trump is making the protests situation worse
","President Trump demanding a tougher reaction to the George Floyd protests risks worsening the situation, suggests Frida Ghitis of CNN. At a time when the country needs a leader who calls for unity and calms tempers, he is creating further antagonism and division. It appears that he is doing so to rally his political base and cement his image as a tough ""law and order"" leader to help his reelection chances. This only sows division and partisanship. It throws fuel on the fire, making many communities angrier when they are already suffering real pain and grief. It would've been better had Trump said nothing at all.
"
"Is Trump right to call for a harsher response to protests?
","We need to stop rioters' violence now
",1,"We need to stop rioters' violence now
","President Trump is right to call for better policing in the wake of protests, holds Rich Lowry of National Review. It is the absence of police that encourages looting and destruction. By having officers on-site to keep rioters in check, much damage can be avoided. So far, we have seen a strong lack of leadership among local governors, who have refrained from using more law enforcement in fear of seeming too oppressive. It was this thinking that led to the torching of a Minneapolis police station. If protesters aren't checked, they might very well commit more violence and damage more property. Law and order are needed.
"
"Is Trump Right To Criticize Mail-In Voting?
","It's far too risky for an election
",1,"Mail-in voting is far too risky for an election
","Voter fraud due to mail-in voting is a serious issue, holds John Fund of National Review. Sending ballots to each individual American opens up the door to others interfering with this process. ""Ballot harvesting"" could occur, where someone collects the ballots of others, fills them out and hands them in. In California, mail-in voting is happening in a flawed way. Los Angeles County has a registration rate of 112% of its adult population. This way, many ballots are sent to people that moved or are deceased. During the 2016 election, millions of ballots were misdirected. Democrats appear to be trying to use mail-in ballots to benefit themselves politically."
"Is Trump Right To Criticize Mail-In Voting?
","Instances of voter fraud are rare
",0,"Instances of voter fraud are rare in mail-in voting
","President Trump's claim that mail-in ballots lead to voter fraud is incorrect, reports Chris Cillizza of CNN. The widespread election fraud he described is nonexistent in the US. This has been proven by multiple studies, even one commissioned by George W. Bush. In the 2016 election, which Trump claimed was marred by voter fraud, only four instances of it were ever found. The president seems to be preparing this voter fraud excuse in case he ends up losing to Joe Biden. He reportedly routinely and falsely accuses opponents of cheating, whether that be in the 2016 election, which he won, or in the 2016 Iowa caucus, which he lost to Ted Cruz."
"Does Obamagate Have Merit?
","This wild theory is made up
",0,"This wild theory of Obamagate is made up
","The Obamagate allegations that President Trump is spreading aren't based on fact, writes Alex Shepard of The New Republic. He is using this story to distract from the fact that his administration had completely mishandled the outbreak of COVID-19, which has ravaged the country. Trump and his supporters love the idea of Obama as a villain who sought to undermine Trump and America. But that didn't happen. Michael Flynn pled guilty to the charges he was accused of. Several other people Trump worked with now sit in jail because they broke the law. Obamagate didn't happen; it is being used to rile up conservative America."
"Does Obamagate Have Merit?
","Something clearly happened
",1,"Something clearly happened about Obamagate
","President Trump is right that we need to look into the Obamagate matter further, holds David Harsanyi of National Review. The Russiagate investigation that Obama started was based on opposition research by Hillary Clinton's campaign. The Department of Justice withheld key information while warrants were enforced erroneously. Members of the Obama administration sought to reveal Trump allies under investigation several times. The power of the White House was used to find damaging information about people close to Trump. While Obama himself is likely innocent, several incidents point to foul play in the Russiagate investigation.
"
